Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Catalan et al. (2015);Catalan et al. (2015)_46;DOC degradation;4;0.87;yes;negative;yes;Lab;Lake;none;Glucose;NP;15;35;NA;4.18;0.00836;500.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_47;DOC degradation;4;0.83;yes;negative;yes;Lab;Lake;none;Glucose;NP;15;35;NA;4.18;0.0418;100.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_48;DOC degradation;4;0.69;yes;negative;yes;Lab;Lake;none;Glucose;NP;15;35;NA;4.18;0.209;20.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_57;DOC degradation;4;0.89;yes;negative;yes;Lab;Lake;none;Glucose;none;15;35;NA;4.18;0.00209;2000.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_58;DOC degradation;4;0.89;yes;negative;yes;Lab;Lake;none;Glucose;none;15;35;NA;4.18;0.00836;500.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_59;DOC degradation;4;0.88;yes;negative;yes;Lab;Lake;none;Glucose;none;15;35;NA;4.18;0.0418;100.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_60;DOC degradation;4;0.81;yes;negative;yes;Lab;Lake;none;Glucose;none;15;35;NA;4.18;0.209;20.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_69;DOC degradation;4;1.01;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;22.83;0.00209;2000.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_70;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;22.83;0.00836;500.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_71;DOC degradation;4;0.95;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;22.83;0.0418;100.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_72;DOC degradation;4;0.79;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;22.83;0.209;20.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_81;DOC degradation;4;1.24;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_82;DOC degradation;4;1.22;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_83;DOC degradation;4;1.01;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_84;DOC degradation;4;0.74;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_93;DOC degradation;4;0.98;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_94;DOC degradation;4;0.96;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_95;DOC degradation;4;0.99;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_96;DOC degradation;4;1.1;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_105;DOC degradation;4;0.99;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_106;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_107;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_108;DOC degradation;4;1.01;no;not;yes;Lab;Lake;none;Glucose;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_117;DOC degradation;4;1.22;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_118;DOC degradation;4;1.21;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_119;DOC degradation;4;1.1;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_120;DOC degradation;4;0.88;no;not;yes;Lab;Lake;none;Glucose;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_1;DOC degradation;4;1.25;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_2;DOC degradation;4;1.06;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_3;DOC degradation;4;1.13;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_4;DOC degradation;4;0.9;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
