Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Coble et al. (2015);Coble_15;CO2;12;1.11;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_16;CO2;12;1.15;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;7;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_17;CO2;12;1.2;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_18;CO2;12;1.27;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_19;CO2;12;1.27;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1212.84
Coble et al. (2015);Coble_20;CO2;12;1.04;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_21;CO2;12;1.15;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_22;CO2;12;1.24;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_23;CO2;12;1.31;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;7;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_24;CO2;12;1.34;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_25;CO2;12;1.4;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_26;CO2;12;1.47;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1212.84
Coble et al. (2015);Coble_27;CO2;12;1.04;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_28;CO2;12;1.44;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_29;CO2;12;1.39;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_30;CO2;12;1.48;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;7;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_31;CO2;12;1.45;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_32;CO2;12;1.52;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_33;CO2;12;1.52;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1193.51
Coble et al. (2015);Coble_34;CO2;12;0.96;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_35;CO2;12;1.39;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_36;CO2;12;1.38;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_37;CO2;12;1.44;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;7;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_38;CO2;12;1.49;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_39;CO2;12;1.48;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.21;5.8;1;5.8;1193.51
Coble et al. (2015);Coble_40;CO2;12;1.48;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1193.51
Coble et al. (2015);Coble_41;CO2;12;1.0;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_42;CO2;12;1.24;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_43;CO2;12;1.29;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_44;CO2;12;1.32;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;7;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_45;CO2;12;1.29;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_46;CO2;12;1.25;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_47;CO2;12;1.29;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1694.86
Coble et al. (2015);Coble_48;CO2;12;0.98;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_49;CO2;12;1.29;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_50;CO2;12;1.29;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_51;CO2;12;1.29;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;7;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_52;CO2;12;1.24;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_53;CO2;12;1.26;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.56;8.6;1;8.6;1694.86
Coble et al. (2015);Coble_54;CO2;12;1.3;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1694.86
d'Errico et al. (2015);d'Errico_1;extracellular enzyme activities;3;1.48;yes;positive;yes;Field;Lagoon;added;Other;none;22.3;0.5;NA;NA;NA;NA;NA
d'Errico et al. (2015);d'Errico_2;extracellular enzyme activities;3;2.15;yes;positive;yes;Field;Lagoon;added;Other;none;22.3;1;NA;NA;NA;NA;NA
d'Errico et al. (2015);d'Errico_3;extracellular enzyme activities;3;2.74;yes;positive;yes;Field;Lagoon;added;Other;none;22.3;2;NA;NA;NA;NA;NA
d'Errico et al. (2015);d'Errico_4;extracellular enzyme activities;3;0.83;yes;negative;yes;Field;Lagoon;added;Other;none;22.3;3;NA;NA;NA;NA;NA
d'Errico et al. (2015);d'Errico_5;extracellular enzyme activities;3;3.51;yes;positive;yes;Field;Lagoon;added;Other;none;22.3;15;NA;NA;NA;NA;NA
d'Errico et al. (2015);d'Errico_6;extracellular enzyme activities;3;2.98;yes;positive;yes;Field;Lagoon;added;Other;none;23.5;30;NA;NA;NA;NA;NA
Danger et al. (2013);Danger_1;POC removed;4;1.0;no;not;yes;Lab;River/Stream;added;Diatom;NP;15;10;NA;1.58;NA;NA;189.99
Danger et al. (2013);Danger_2;POC removed;4;1.37;yes;positive;yes;Lab;River/Stream;added;Diatom;NP;15;21;NA;NA;NA;NA;189.99
Danger et al. (2013);Danger_3;POC removed;4;1.35;yes;positive;yes;Lab;River/Stream;added;Diatom;NP;15;31;NA;NA;NA;NA;189.99
Danger et al. (2013);Danger_4;POC removed;4;1.35;yes;positive;yes;Lab;River/Stream;added;Diatom;NP;15;42;NA;NA;NA;NA;189.99
Danger et al. (2013);Danger_5;POC removed;4;1.07;no;not;yes;Lab;River/Stream;added;Diatom;NP;15;10;NA;NA;NA;NA;126.62
Danger et al. (2013);Danger_6;POC removed;4;0.99;no;not;yes;Lab;River/Stream;added;Diatom;NP;15;21;NA;NA;NA;NA;126.62
Danger et al. (2013);Danger_7;POC removed;4;0.95;no;not;yes;Lab;River/Stream;added;Diatom;NP;15;31;NA;NA;NA;NA;126.62
Danger et al. (2013);Danger_8;POC removed;4;1.04;no;not;yes;Lab;River/Stream;added;Diatom;NP;15;42;NA;NA;NA;NA;126.62
Dendooven et al. (2015);Dendooven_1;CO2;3;2.54;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;7;10.6;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_2;CO2;3;2.55;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;14;10.6;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_3;CO2;3;2.17;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;28;10.6;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_4;CO2;3;1.13;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;7;NA;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_5;CO2;3;1.44;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;14;NA;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_6;CO2;3;1.93;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;28;NA;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_7;CO2;3;1.98;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;7;10.4;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_8;CO2;3;1.71;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;14;10.4;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_9;CO2;3;1.55;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;28;10.4;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_10;CO2;3;4.94;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;7;10;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_11;CO2;3;2.99;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;14;10;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_12;CO2;3;2.36;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;28;10;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_13;CO2;3;6.84;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;7;9.6;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_14;CO2;3;6.45;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;14;9.6;NA;1000;NA;NA
Dendooven et al. (2015);Dendooven_15;CO2;3;4.16;yes;positive;yes;Lab;Lake;added;Glucose;Nitrogen;NA;28;9.6;NA;1000;NA;NA
Dorado-Garcia et al. (2015);Dorado-Garcia_1;Bacterial Production;3;0.69;no;not;yes;Field;Lake;none;Other;none;NA;1;NA;32.06;6;5.34;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_2;Bacterial Production;3;1.09;no;not;yes;Field;Lake;none;Other;none;NA;3;NA;32.06;6;5.34;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_3;Bacterial Production;3;0.71;no;not;yes;Field;Lake;none;Other;none;NA;5;NA;32.06;6;5.34;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_4;Bacterial Production;3;2.06;no;not;yes;Field;Lake;none;Other;none;NA;1;NA;35.9;6;5.98;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_5;Bacterial Production;3;0.78;no;not;yes;Field;Lake;none;Other;none;NA;3;NA;35.9;6;5.98;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_6;Bacterial Production;3;1.0;no;not;yes;Field;Lake;none;Other;none;NA;5;NA;NA;NA;NA;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_7;Bacterial Production;3;0.29;no;not;yes;Field;Lake;none;Other;none;NA;1;NA;32.06;9;3.56;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_8;Bacterial Production;3;0.71;no;not;yes;Field;Lake;none;Other;none;NA;3;NA;32.06;9;3.56;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_9;Bacterial Production;3;0.64;no;not;yes;Field;Lake;none;Other;none;NA;5;NA;32.06;9;3.56;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_10;Bacterial Production;3;0.78;no;not;yes;Field;Lake;none;Other;none;NA;1;NA;35.9;9;3.98;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_11;Bacterial Production;3;1.78;no;not;yes;Field;Lake;none;Other;none;NA;3;NA;35.9;9;3.98;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_12;Bacterial Production;3;0.64;no;not;yes;Field;Lake;none;Other;none;NA;5;NA;NA;NA;NA;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_13;Bacterial Production;3;0.33;no;not;yes;Field;Lake;none;Other;none;NA;1;NA;32.06;12;2.67;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_14;Bacterial Production;3;1.19;no;not;yes;Field;Lake;none;Other;none;NA;3;NA;32.06;12;2.67;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_15;Bacterial Production;3;0.93;no;not;yes;Field;Lake;none;Other;none;NA;5;NA;32.06;12;2.67;458.33
Dorado-Garcia et al. (2015);Dorado-Garcia_16;Bacterial Production;3;0.5;no;not;yes;Field;Lake;none;Other;none;NA;1;NA;35.9;12;2.99;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_17;Bacterial Production;3;1.0;no;not;yes;Field;Lake;none;Other;none;NA;3;NA;35.9;12;2.99;1072.53
Dorado-Garcia et al. (2015);Dorado-Garcia_18;Bacterial Production;3;2.29;no;not;yes;Field;Lake;none;Other;none;NA;5;NA;NA;NA;NA;1072.53
Farjalla et al. (2009);Farjalla et al. (2009)_1;Bacterial Production;4;1.6;yes;positive;no;Lab;Lagoon;none;Other;none;25;4;NA;11.04;11.52;0.958;196.5
Farjalla et al. (2009);Farjalla et al. (2009)_2;Bacterial Production;4;2.3;yes;positive;no;Lab;Lagoon;none;Other;NP;25;4;NA;11.04;11.52;0.958;104.55
Farjalla et al. (2009);Farjalla et al. (2009)_3;Bacterial Production;4;1.23;yes;positive;no;Lab;Lagoon;none;Other;none;25;4;NA;11.64;11.52;1.01;196.5
Farjalla et al. (2009);Farjalla et al. (2009)_4;Bacterial Production;4;2.47;yes;positive;no;Lab;Lagoon;none;Other;NP;25;4;NA;11.64;11.52;1.01;104.55
Farjalla et al. (2009);Farjalla et al. (2009)_5;Bacterial Production;4;0.91;yes;positive;no;Lab;Lagoon;none;Other;none;25;4;NA;11.04;11.52;0.958;196.5
Farjalla et al. (2009);Farjalla et al. (2009)_6;Bacterial Production;4;1.81;yes;positive;no;Lab;Lagoon;none;Other;NP;25;4;NA;11.04;11.52;0.958;104.55
Fonte et al. (2013);Fonte_1;Bacterial Production;4;9.1;yes;positive;no;Lab;Lagoon;none;Algal;NP;25;1;NA;3.996;3.996;1;1.21
Fonte et al. (2013);Fonte_2;Bacterial Production;4;6.91;yes;positive;no;Lab;Lagoon;none;Algal;NP;25;1;NA;3.996;3.996;1;1.05
Fonte et al. (2013);Fonte_3;Bacterial Production;4;4.09;yes;positive;no;Lab;Lagoon;none;Algal;NP;25;1;NA;3.996;3.996;1;1.07
Fortino et al. (2020);Fortino2020;POC removed;10;1.22;yes;positive;yes;Lab;Lagoon (pond);added;Other;none;NA;130;NA;NA;NA;NA;1075.55
Franke et al. (2013);Franke_1;Bacterial respiration;5;0.69;yes;positive;yes;Lab;River/Stream;none;Glucose;NP;18.5;1;NA;11.52;0.996;11.57;87.4
Franke et al. (2013);Franke_2;Bacterial respiration;5;0.62;yes;positive;yes;Lab;River/Stream;none;Glucose;NP;16.2;1;NA;12.26;0.996;12.31;49.64
Gontikaki et al. (2013);Gontikaki_2013_1;CO2;3;0.42;yes;negative ;yes;Lab;Marine/Sea;added;Diatom;none;8;7;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_2;CO2;3;0.81;yes;negative;yes;Lab;Marine/Sea;added;Diatom;none;8;14;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_3;CO2;3;0.83;yes;negative;yes;Lab;Marine/Sea;added;Diatom;none;8;21;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_4;CO2;3;0.6;yes;negative;yes;Lab;Marine/Sea;added;Diatom;none;8;7;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_5;CO2;3;2.95;yes;negative;yes;Lab;Marine/Sea;added;Diatom;none;8;14;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_6;CO2;3;1.06;yes;negative;yes;Lab;Marine/Sea;added;Diatom;none;8;21;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_7;CO2;3;1.28;yes;positive;yes;Lab;Marine/Sea;added;Diatom;none;8;7;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_8;CO2;3;6.04;yes;positive;yes;Lab;Marine/Sea;added;Diatom;none;8;14;NA;NA;NA;NA;NA
Gontikaki et al. (2013);Gontikaki_2013_9;CO2;3;2.15;yes;negative;yes;Lab;Marine/Sea;added;Diatom;none;8;21;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_1;Bacterial respiration;3;1.57;yes;positive;yes;Lab;Marine/Sea;added;Diatom;none;10;7;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_2;Bacterial respiration;3;1.03;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;14;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_3;Bacterial respiration;3;1.06;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;21;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_4;Bacterial respiration;3;1.03;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;28;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_5;Bacterial respiration;3;2.02;yes;positive;yes;Lab;Marine/Sea;added;Diatom;none;10;7;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_6;Bacterial respiration;3;1.29;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;14;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_7;Bacterial respiration;3;1.17;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;21;NA;NA;NA;NA;NA
Gontikaki et al. (2015);Gontikaki_2015_8;Bacterial respiration;3;1.26;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;28;NA;NA;NA;NA;NA
Gontikaki et al. (2019);Gontikaki et al. (2019)_1;CO2;3;0.94;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;1;NA;NA;NA;NA;NA
Gontikaki et al. (2019);Gontikaki et al. (2019)_2;CO2;3;10.47;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;7;NA;NA;NA;NA;NA
Gontikaki et al. (2019);Gontikaki et al. (2019)_3;CO2;3;0.91;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;13;NA;NA;NA;NA;NA
Gontikaki et al. (2019);Gontikaki et al. (2019)_4;CO2;3;1.95;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;1;NA;NA;NA;NA;NA
Gontikaki et al. (2019);Gontikaki et al. (2019)_5;CO2;3;8.83;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;7;NA;NA;NA;NA;NA
Gontikaki et al. (2019);Gontikaki et al. (2019)_6;CO2;3;0.76;no;not;yes;Lab;Marine/Sea;added;Diatom;none;10;13;NA;NA;NA;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_1;CO2;3;0.67;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;2;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_2;CO2;3;0.82;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;8;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_3;CO2;3;0.87;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;15;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_4;CO2;3;0.89;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;22;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_5;CO2;3;0.88;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;29;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_6;CO2;3;1.27;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;30;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_7;CO2;3;1.74;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;45;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_8;CO2;3;0.68;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;2;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_9;CO2;3;0.89;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;8;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_10;CO2;3;0.91;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;15;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_11;CO2;3;0.87;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;22;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_12;CO2;3;0.71;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;29;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_13;CO2;3;0.81;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;30;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_14;CO2;3;0.96;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;45;3.7;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_15;CO2;3;0.99;no;not;yes;Lab;Lake;added;Glucose;NP;20;2;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_16;CO2;3;1.01;no;not;yes;Lab;Lake;added;Glucose;NP;20;8;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_17;CO2;3;1.12;no;not;yes;Lab;Lake;added;Glucose;NP;20;15;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_18;CO2;3;0.98;no;not;yes;Lab;Lake;added;Glucose;NP;20;22;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_19;CO2;3;1.11;no;not;yes;Lab;Lake;added;Glucose;NP;20;29;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_20;CO2;3;1.12;no;not;yes;Lab;Lake;added;Glucose;NP;20;30;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_21;CO2;3;1.0;no;not;yes;Lab;Lake;added;Glucose;NP;20;45;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_22;CO2;3;0.9;no;not;yes;Lab;Lake;added;Glucose;NP;20;2;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_23;CO2;3;1.19;no;not;yes;Lab;Lake;added;Glucose;NP;20;8;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_24;CO2;3;1.06;no;not;yes;Lab;Lake;added;Glucose;NP;20;15;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_25;CO2;3;1.01;no;not;yes;Lab;Lake;added;Glucose;NP;20;22;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_26;CO2;3;1.15;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;29;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_27;CO2;3;1.33;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;30;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_28;CO2;3;1.32;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;45;5.6;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_29;CO2;3;1.28;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;2;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_30;CO2;3;1.13;no;not;yes;Lab;Lake;added;Glucose;NP;20;8;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_31;CO2;3;1.02;no;not;yes;Lab;Lake;added;Glucose;NP;20;15;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_32;CO2;3;1.06;no;not;yes;Lab;Lake;added;Glucose;NP;20;22;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_33;CO2;3;1.02;no;not;yes;Lab;Lake;added;Glucose;NP;20;29;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_34;CO2;3;1.37;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;30;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_35;CO2;3;1.27;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;45;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_36;CO2;3;0.14;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;2;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_37;CO2;3;1.17;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;8;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_38;CO2;3;1.29;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;15;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_39;CO2;3;1.16;no;not;yes;Lab;Lake;added;Glucose;NP;20;22;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_40;CO2;3;1.08;no;not;yes;Lab;Lake;added;Glucose;NP;20;29;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_41;CO2;3;1.37;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;30;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_42;CO2;3;1.27;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;45;6.1;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_43;CO2;3;0.84;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;2;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_44;CO2;3;0.85;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;8;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_45;CO2;3;1.38;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;15;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_46;CO2;3;1.41;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;22;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_47;CO2;3;1.06;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;29;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_48;CO2;3;1.35;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;30;4;NA;120;NA;NA
